Categoria,Região,Url da Bandeira ,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Mato Grosso,Centro-oeste,https://raw.githubusercontent.com/iconolatry/brazilian-states-flags/da53c2f1fe28ed67d2049b624f21536c337fd118/svg/mato-grosso.svg,21876064.353485964,23343144.43855003,24762276.204230543,26166565.40664227,7705561.506699894,8194488.777807187,9015529.925441904,9429319.842206659,10038686.739590807,10621865.692374282,13801812.186067915,14294408.057733154,15491747.358744552,16605359.417287981,17752068.661565773,17415627.89497768,18831213.022276934,20413443.143685795,21875986.662969586,23868195.630292602,299145398.1764236,308070390.52979916,412319370.1734384,395924854.0922477,546202292.6,646279825.2059964,535880922.15760416,523770590.95205915,533169148.27895224,590494472.8555993,453125571.36694074,471683500.95231974,611615120.3254244,855284253.3758879,762821853.4,589493006.6995733,364946741.07399094,272362867.65698934,292040983.0819918,175141873.90271524,173071532.86796302,222939529.4797767,197600019.36599892,250575952.35877666,225923582.3984453,248465171.09833968,212761358.19761658,220687740.62057945,231969553.6890503,278904083.3796229,243673344.16912997,264612181.8816111,336848300.06839675,298571092.8
Mato Grosso do Sul,Centro-oeste,https://raw.githubusercontent.com/iconolatry/brazilian-states-flags/da53c2f1fe28ed67d2049b624f21536c337fd118/svg/mato-grosso-do-sul.svg,997970.7174060674,1007648.8247482327,1015113.2389216038,1022558.2892425439,20979534.489630636,20805729.57094327,21800576.41576859,21923708.01147938,21994283.351085454,24203042.564341743,30285060.530635957,32280086.949198566,32837268.296866156,33550088.764978576,34542815.03228599,36969938.887066476,39232966.86784156,40660175.20631085,42404802.77552385,43785900.930617176,150843672.15305737,147671473.38772032,149289445.7946679,134388502.6512711,125899559.45368604,133775671.30796467,118070873.50896226,98908147.82448521,97768316.41,95038707.71633598,96146004.77343169,93956739.57380462,95048995.88975386,113028629.60283875,101031387.39866675,90999457.24720035,85784389.34,73673589.48534924,74458628.58423772,70513222.59969905,72152909.70690279,68103567.61,69903183.30886544,72904933.43630342,72975237.07497579,72569047.4,71978140.07689397,71327805.95187014,69768939.59222779,71831365.19,74616807.47626238,78816101.78642882,70305990.39539708,79207643.26
Minas Gerais,Sudeste,https://raw.githubusercontent.com/iconolatry/brazilian-states-flags/da53c2f1fe28ed67d2049b624f21536c337fd118/svg/minas-gerais.svg,38826988.70727657,41098458.81804863,42700071.471290536,44275582.897170484,45753989.72983446,53798253.3,56045803.052559316,55439511.40404165,58458049.588541105,59745567.52363041,67788894.34934847,66315096.980752155,70997668.15,69003253.31,69375254.95,71387175.01,74513194.05859755,75634969.25022775,78834293.23449261,80284879.87680274,171891874.7191574,180326022.21079493,167609898.8274464,171171365.58859444,159031256.94902197,164711944.56599694,159340758.5853784,163445596.24534005,156803396.25224257,165187873.33056748,159817737.32551366,156305586.8,163515971.34772146,167301742.40370828,170381652.50843292,172947359.73980796,169466448.81133482,171395024.75335884,171194933.69144025,159978380.21823394,165559211.94286287,167071156.9,174059290.63480556,181230094.36433417,175856321.90967992,172766415.25856912,164322115.77846748,156978851.40636256,154615333.65854168,155728178.8349372,156907583.3,166520812.04363894,165199757.31894073,169755224.1
Pará,Norte,https://raw.githubusercontent.com/iconolatry/brazilian-states-flags/da53c2f1fe28ed67d2049b624f21536c337fd118/svg/para.svg,3427896.5791092315,3697546.396066733,3980343.735218618,4203965.919819351,4460563.775147205,4683959.560127431,4964718.252012027,5231866.334,5521360.306809201,5976183.321,9805437.863,12281705.199723192,12940569.496090086,13168122.394196702,14295688.46600498,13197558.12,15860391.095152142,18530574.246053927,20424029.584753476,21857345.47309847,371360388.81906617,345661244.50918806,488793942.5429937,390347953.1037764,409692613.1819468,570984511.7488602,460800022.88834316,562406816.3304728,480997291.7546279,399527070.9386088,438735643.6,563970287.2043018,525195439.96637326,608576583.8282247,653297314.7413914,523687283.1517514,500050764.85917467,425265223.96253306,431587721.2577786,305178123.4579136,263816142.73005325,229223085.06525838,238745127.42903483,275266825.3962799,260838678.34529525,297073765.34908694,358915895.15797746,296520277.6575735,334548164.83325016,422834068.2564558,410878073.3020445,538918537.2644329,439050427.7988199,312260528.9
Paraíba,Nordeste,https://raw.githubusercontent.com/iconolatry/brazilian-states-flags/da53c2f1fe28ed67d2049b624f21536c337fd118/svg/paraiba.svg,2548625.1442384343,2751370.6470306967,2937030.7680375716,3112690.4527111812,3243879.6419895967,3610622.5780207263,3788797.9687749227,4075315.633738688,4114006.607214412,4145901.7098528934,4478249.055645317,4466660.588415495,4479608.310637196,3995797.7055855347,4166684.245354381,4520103.368338667,5168470.900422867,5090154.579,5221775.562390232,5574452.082977518,8948465.586,8851452.550466316,9122437.402790666,7116915.211391413,9240047.398352407,9752759.404398192,9987658.473007545,8973391.197651846,8352433.0490842145,8519206.487641385,8911359.754,8457240.925,8566200.124,7642490.225419879,8500014.339999562,8248333.271842221,8596459.182632335,9357093.529149028,9460963.771904051,8764581.504,10141541.272459462,10349492.186004523,9996425.399741098,10651626.68825138,12680618.607145933,13317037.460555928,13614014.420919346,14300820.91,14683697.23479859,14414880.080018979,13944376.00775168,14466972.45947704,13331963.717467897,15476573.96
Paraná,Sul,https://raw.githubusercontent.com/iconolatry/brazilian-states-flags/da53c2f1fe28ed67d2049b624f21536c337fd118/svg/parana.svg,14945854.921235545,15846568.152222514,16692592.395128451,17434970.435698036,18366523.27676435,20491630.854775324,21702870.82637852,21621837.67243145,20530731.620732654,21306563.48781751,29689265.998362646,29678520.060299784,30732108.85784506,30197479.633761257,30109332.268604733,31438647.32728377,33132679.709583312,34270013.206197955,33692126.66340475,34477825.84799697,79653841.14851493,75520661.20082101,69751626.25313005,71405792.02774951,75358154.41486157,76594856.48581077,74119843.80897179,78497175.80206782,71215923.67031886,77865589.88565661,77751504.36054555,74269814.23593207,73182403.42794779,79711635.08076134,71829999.92332953,68644087.97,68493432.40967335,70118154.69344608,71901554.12189144,67781709.7,70173142.04232864,70932934.68784693,73442340.34,77219731.45101744,77584027.02,79074017.45328651,76874054.93077153,75013085.56685519,73393502.34630615,76583822.49,75405274.08226061,79824468.76947415,74715814.67831388,77044898.75
Pernambuco,Nordeste,https://raw.githubusercontent.com/iconolatry/brazilian-states-flags/da53c2f1fe28ed67d2049b624f21536c337fd118/svg/pernambuco.svg,3981899.6129061454,4443255.6837542085,4660060.813299207,4880568.439724983,5140388.348676955,5392470.050168156,5675501.976274142,5750781.049692762,6013993.697652408,6121020.422337089,7914709.458085502,7990251.693275169,8989836.040133445,7880163.142414278,8045493.272738464,8612703.198321275,9236035.437643895,9619554.702923026,9569722.301466648,9686830.598009951,17695220.40225799,19671045.073557988,18261025.27277668,15066769.990623709,13654377.508074582,15596784.949742142,16624294.584696399,15598154.679262225,14815541.297429763,15692694.806496274,15192688.677526504,15124845.804592099,15670468.484745506,15646603.026266938,16542134.67837483,17408452.040077873,18111170.214767866,19176714.496372573,18175465.548954647,19009407.91223692,21843239.726693753,23349092.976685576,23089137.40792061,22837801.57704516,24992778.020428643,24400260.93254143,23217020.294038102,23040442.181939267,23355466.200479284,24401617.435708128,23115531.058845736,28887554.508190647,26134179.228611782,26611322.09
Piauí,Nordeste,https://raw.githubusercontent.com/iconolatry/brazilian-states-flags/da53c2f1fe28ed67d2049b624f21536c337fd118/svg/piaui.svg,4078261.720962171,4313250.117576227,4533709.301762084,4755741.457781549,4925122.776843362,5082139.796893924,5077347.7498423895,5107063.560735685,5209843.007930439,5403978.601944668,5545244.099927457,5637219.556593975,5873478.2651532935,5358706.404453699,5572918.006595404,5906095.748187039,6269393.9764442425,6349828.1905318955,6718343.958586088,7057670.611765892,16493197.205587942,14629212.388387173,14617995.917981897,13579990.075490149,16117023.62142289,14760725.608723085,12641058.147667596,14094827.794232534,14749555.545441858,17807500.336451937,15352575.55750261,19496594.705121893,14640546.047611726,16572944.191229675,29382988.269366115,23279707.61732841,17550320.46911688,17911143.279982917,20473264.55,16335663.881481659,26685965.376082063,18797688.566743143,37056500.08943464,28918363.14220388,27795271.819875572,25138634.746207032,17895174.748293377,19746447.029965986,19508262.97408903,28858827.700640835,33279252.002530504,29206966.259747017,42550145.54049877,36481179.37
Rio de Janeiro,Sudeste,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Bandeira_do_estado_do_Rio_de_Janeiro.svg/1200px-Bandeira_do_estado_do_Rio_de_Janeiro.svg.png,4794824.153986103,5917301.312173773,6284735.534167651,6615911.625,6957961.3756896425,7620717.426480966,8070267.852124346,8469693.789851613,8685249.244142331,8823996.626219407,18238390.306432296,18438329.956245832,23043154.398601025,22055754.46969267,22759796.262277424,22344261.085592967,25982003.16251371,24588583.536318988,24856270.386647526,23059683.923708577,31348654.876618627,33720887.310431436,32677597.715232134,32974927.79711049,34528855.97638602,34006653.31526364,32831263.964475483,37756144.897990204,41570040.98328668,40371249.34633283,44859718.28055601,45024252.07991926,46115275.04295789,45619612.050622344,46166640.43136058,50018314.39492731,49224171.550690785,56921705.20025947,66325263.760129206,65176239.193411246,68560666.77161631,70079669.60891986,75962864.17,79649221.59707199,76486174.51845911,75986684.41587874,68378871.04,70969635.13435611,67854042.24,68911950.70204616,66637194.117152065,74866918.08920923,66719762.877654016,68207188.51
Rio Grande do Norte,Nordeste,https://raw.githubusercontent.com/iconolatry/brazilian-states-flags/da53c2f1fe28ed67d2049b624f21536c337fd118/svg/rio-grande-do-norte.svg,1684737.4156413372,1768487.2878378653,1891580.3181432132,2027177.0965209608,2131533.3389420686,2231137.645540787,2328397.7608274566,2338053.5687882015,2416064.0740380646,2329585.442914449,2984577.6553661767,2860490.536226899,2900886.601,2391006.6541536693,2669328.511960809,2824565.3189234347,3454972.892940776,3559284.254389896,3647767.9729767675,3678005.978809949,7638368.584939191,7002413.564779662,6152164.322166094,5266447.717866887,7000464.126,8919383.247263694,7252051.382017372,7727736.825971099,9584946.317182159,9525357.477,8744978.532,7462188.819911875,8180527.978496477,7688761.341214719,8891416.935815625,8868473.389,9006523.750882152,8470614.237430386,9305327.830571365,8700155.179411214,11055310.98842889,10531459.856252462,10706009.113171807,12236395.555744931,13427552.798110025,12086288.04698705,10505100.942029353,10879709.125991032,10427894.61501437,10520492.128617346,12040496.184499642,12809814.614933766,12145694.641515004,13215018.98
